primaryName,actor_score_mean,actor_score_max,actor_score_std,actor_ganador_oscar_prom,actor_nominado_oscar_prom
360,5.8,5.8,,0.0,0.0
$2 Tony,5.5,5.5,,0.0,0.0
'Angela Harper,,,,0.0,0.0
'Angry' Joe Cleary,9.0,9.0,,0.0,0.0
'Bart' the Dog,4.8,4.8,,0.0,0.0
'Beatle' Bob Matonis,,,,0.0,0.0
'Big Wave' Dave Cline,2.6,2.6,,0.0,0.0
'Big' Jack Little,4.5,4.5,,0.0,0.0
'Big' LeRoy Mobley,6.133333333333333,6.4,0.3785938897200179,0.0,0.0
'Big' Mike Burrelle,7.4,7.4,,0.0,0.0
'Butch' Bucholtz,5.1,5.1,,0.0,0.0
'Calamity Jane' Nemhauser,6.4,6.4,,0.0,0.0
'Capitano' Angelo Picone,,,,0.0,0.0
'Chicken' Holleman,6.0,6.0,,0.0,0.0
'Chico' Hernandez,5.5,5.5,,0.0,0.0
'Ciretta' Ciro Granada,,,,0.0,0.0
'Cousin Brucie' Morrow,,,,0.0,0.0
'Cowboy' Bob Purtell,7.1,7.1,,0.0,0.0
'Crazy' John Brooks,7.9,7.9,,0.0,0.0
'Diamond' Tim Pleshaw,7.5,7.5,,0.0,0.0
'Doc' Newman,3.9,3.9,,0.0,0.0
'Dum Dum' Pacheco,4.5,4.5,,0.0,0.0
'E-Gotti' Eric Johnson,8.0,8.0,,0.0,0.0
'Eddie' Greatness,,,,0.0,0.0
'El Mindo' Armando Ortíz,,,,0.0,0.0
'Evil' Ted Smith,6.8,6.8,,0.0,0.0
'Frau Diamanda' Héctor Acuña,5.5,5.5,,0.0,0.0
'Freeway' Ricky Ross,,,,0.0,0.0
'Ganja' Karuppu,5.766666666666667,8.3,1.5164252222069685,0.0,0.0
'Glider' Bob Saunders,8.4,8.4,,0.0,0.0
'Hollywood' Ryan Hood,,,,0.0,0.0
'Humble Bob' Shoudt,,,,0.0,0.0
'Hurricane Ryu' Hariken,5.116666666666666,6.0,1.0628577828979122,0.0,0.0
'Isileli Vaea,6.5,6.5,,0.0,0.0
'Josh' Somsak Orajan,4.8,4.8,,0.0,0.0
'Karloff' Lagarde,5.699999999999999,6.3,0.8485281374238568,0.0,0.0
'Knife' Sotelo,,,,0.0,0.0
'Legs' Larry Smith,,,,0.0,0.0
'Let's Go' Chôsaku,,,,0.0,0.0
'Let's Go' Nagasaku,,,,0.0,0.0
'Let's Go' Shoji,,,,0.0,0.0
'Liddo' Jim Cornett,7.9,7.9,,0.0,0.0
'Little Billy' Rhodes,5.3,5.3,,0.0,0.0
'Little Man' Machan,6.0,6.4,0.5656854249492386,0.0,0.0
'Nandha' Saravanan,6.566666666666666,7.6,1.2342339054382412,0.0,0.0
'Ntianu Stuger,,,,0.0,0.0
'Perzechella' Giuseppina Andelora,,,,0.0,0.0
'Philthy' Phil Phillips,3.8,3.8,,0.0,0.0
'Pimpin' Ken Ivey,,,,0.0,0.0
'Pizza' Venkatesh,6.2,6.2,,0.0,0.0
'Poo' Ram,7.2444444444444445,8.7,0.974821921059317,0.0,0.0
'Punch' the Clown,8.5,8.5,,0.0,0.0
'Reb' Sawitz,4.6,4.6,,0.0,0.0
'Scorpio' Cornett,7.9,7.9,,0.0,0.0
'Shotgun Tom' Kelly,6.3,6.3,,0.0,0.0
'Sigi' Johnstone Karanja Githii,8.2,8.2,,0.0,0.0
'Singhu Bhai' Avtar Singh,9.2,9.2,,0.0,0.0
'Smokey Tom' Hodgins,,,,0.0,0.0
'Spring' Mark Adley,6.5,6.5,,0.0,0.0
'Steady Ed' Headrick,7.9,7.9,,0.0,0.0
'Stone Cold' Ralph Guastella,,,,0.0,0.0
'Super Good' Lakshmanan,5.3,5.3,,0.0,0.0
'TJ' Tijideen O'Rowley,,,,0.0,0.0
'The Jinni' Ra'Shawn Vass,6.0,6.0,,0.0,0.0
'Ttitika Rekalt Dominika,7.5,7.5,,0.0,0.0
'University' Jeevan,5.516666666666667,8.0,1.6154462747695035,0.0,0.0
'Wave' Sarin Bangyeekan,6.4,6.4,,0.0,0.0
'Wee' Wille Leslie,5.6,5.6,,0.0,0.0
'Weird Al' Yankovic,6.15,6.9,1.2396235987858035,0.0,0.0
'Winner' Ramachandran,5.4,5.4,,0.0,0.0
'Yellowbird' Leonard Lethbridge,2.8,2.8,,0.0,0.0
.Carlos Gerardo Garcia Silva,,,,0.0,0.0
.Suresh Kotian Chitrapu,,,,0.0,0.0
00 X,,,,0.0,0.0
0010x0010,,,,0.0,0.0
007s,,,,0.0,0.0
051 Kiddo,,,,0.0,0.0
10 Piece Shawty,,,,0.0,0.0
100boygaming,,,,0.0,0.0
100dcx,,,,0.0,0.0
1010 Shawty,,,,0.0,0.0
143 Anand,5.0,5.0,,0.0,0.0
1996 Olympic Water Polo Team,,,,0.0,0.0
1delacruz,,,,0.0,0.0
2 Chainz,,,,0.0,0.0
2 Kupzz,,,,0.0,0.0
2 Live Crew,,,,0.0,0.0
2 Low Esteban,7.0,8.8,1.6093476939431088,0.0,0.0
2'Live Bre,,,,0.0,0.0
2004 Olympic Water Polo Team,,,,0.0,0.0
2008 Olympic Water Polo Team,,,,0.0,0.0
280 Zay,,,,0.0,0.0
2Mex,5.4,6.9,2.121320343559643,0.0,0.0
2Stone,,,,0.0,0.0
2am Ricky,7.7,7.7,,0.0,0.0
2cnd Floor Harley,,,,0.0,0.0
2da Barber,,,,0.0,0.0
2kupzz,,,,0.0,0.0
2raumwohnung,,,,0.0,0.0
357 Magnumm,6.7,6.7,,0.0,0.0
36 Seke,,,,0.0,0.0
3Nairaj,,,,0.0,0.0
40 Glocc,5.15,5.6,0.6363961030678927,0.0,0.0
42nd Street Pete,,,,0.0,0.0
5 Seconds of Summer,,,,0.0,0.0
50 Cent,5.227777777777778,7.3,1.128666863555801,0.0,0.0
5Gang,2.0,2.0,,0.0,0.0
5th Ward Weebie,2.8,2.8,,0.0,0.0
6 Keys,,,,0.0,0.0
60 Sec Assassin,,,,0.0,0.0
703 Ricard,4.1,4.1,,0.0,0.0
9 Loc,3.0,3.0,,0.0,0.0
9 Million Sam,5.0,5.0,,0.0,0.0
94 East,6.5,6.5,,0.0,0.0
96Neko,,,,0.0,0.0
96gowtham,6.3,6.3,,0.0,0.0
99 Posse,7.4,7.4,,0.0,0.0
A Bao,5.7,5.7,,0.0,0.0
A Beezy,,,,0.0,0.0
A Dubb,,,,0.0,0.0
A J Blackmon,,,,0.0,0.0
A K Azad Shetu,,,,0.0,0.0
A K Elavazhagan,,,,0.0,0.0
A L Charan,,,,0.0,0.0
A Martinez,6.026315789473684,7.4,0.7109009192278939,0.0,0.0
A Mu Long,,,,0.0,0.0
A P Maurya,,,,0.0,0.0
A Palanisamy,,,,0.0,0.0
A Phai Giang,7.3,7.3,,0.0,0.0
A$AP Bari,8.0,8.0,,0.0,0.0
A$AP Illz,8.0,8.0,,0.0,0.0
A$AP Lou,8.0,8.0,,0.0,0.0
A$AP Nast,8.0,8.0,,0.0,0.0
A$AP Rocky,7.233333333333333,8.0,0.7505553499465137,0.0,0.0
A$AP Ty Beats,8.0,8.0,,0.0,0.0
A'Ali de Sousa,5.8,5.8,,0.0,0.0
A'Ghani Sakai Mashariki Davis,6.6,6.6,,0.0,0.0
A'Hun,,,,0.0,0.0
A'Keem Bashir,,,,0.0,0.0
A'alona Monteilh,,,,0.0,0.0
A-F-R-O,,,,0.0,0.0
A. Abovian,7.2,7.2,,0.0,0.0
A. Abovyan,3.5,3.6,0.14142135623730964,0.0,0.0
A. Adashevskiy,5.8,5.8,,0.0,0.0
A. Agababayev,5.3,5.3,,0.0,0.0
A. Agung Iskandar,,,,0.0,0.0
A. Aida,8.2,8.2,,0.0,0.0
A. Akynbaev,6.9,6.9,,0.0,0.0
A. Aleksandrov,,,,0.0,0.0
A. Aleksanyan,4.7,4.7,,0.0,0.0
A. Alekseyev,5.9,6.0,0.1414213562373093,0.0,0.0
A. Alexander,4.7,4.7,,0.0,0.0
A. Alexayan,3.1,3.1,,0.0,0.0
A. Aliyev,6.65,8.0,1.909188309203678,0.0,0.0
A. Ananthasayanam,,,,0.0,0.0
A. Andreev,5.366666666666667,6.6,1.8009256878986797,0.0,0.0
A. Andreyev,5.3,5.3,,0.0,0.0
A. Aniscikas,6.1,6.1,,0.0,0.0
A. Antonov,7.0,7.0,,0.0,0.0
