primaryName,actriz_score_mean,actriz_score_max,actriz_score_std,actriz_ganador_oscar_prom,actriz_nominado_oscar_prom
'Ana Ika,,,,0.0,0.0
'Anissa LaShay,,,,0.0,0.0
'Chicken' Klabunde,5.2,5.2,,0.0,0.0
'Fon' Saowalak Mala,6.0,6.0,,0.0,0.0
'La Barbie Yaracuyana' Natasha Oropeza Delgado,,,,0.0,0.0
'Nat' Pilean Sukkum,7.0,7.0,,0.0,0.0
'Punnagai Poo' Geetha,5.62,8.8,2.512369399590753,0.0,0.0
'Ses Hemphill,4.9,4.9,,0.0,0.0
'Tobba' Thorbjorg Valdis Kristjansdottir,7.7,7.7,,0.0,0.0
.jU,,,,0.0,0.0
02Rainer,,,,0.0,0.0
2 Pretty Beebaby,,,,0.0,0.0
2R,5.0,5.0,,0.0,0.0
3D Na'Tee,5.0,5.0,0.0,0.0,0.0
4everChantel,,,,0.0,0.0
73ko Morimoto,,,,0.0,0.0
87gongzhu,,,,0.0,0.0
9m88,,,,0.0,0.0
A Leslie Kies,6.75,8.4,2.333452377915607,0.0,0.0
A M Reilly,5.7,5.7,,0.0,0.0
A'Ariah Cooper,5.8,5.8,,0.0,0.0
A'Jai Simone,6.9,8.5,2.262741699796952,0.0,0.0
A'Keyah Dasia Williams,,,,0.0,0.0
A'Lelia Bundles,8.4,8.4,,0.0,0.0
A'Mani Simmons,5.2,5.2,,0.0,0.0
A'Noelle Jackson,,,,0.0,0.0
A'ja Noel,3.5,3.5,,0.0,0.0
A'riah,,,,0.0,0.0
A-Zha,,,,0.0,0.0
A-hyun Kim,,,,0.0,0.0
A-jeong Jinm,,,,0.0,0.0
A-ra Ko,,,,0.0,0.0
A-ro Lee,7.8,7.8,,0.0,0.0
A-ryeong Kim,,,,0.0,0.0
A. Abayeva,7.3,7.3,,0.0,0.0
A. Aleksandrova,6.15,6.3,0.19148542155126755,0.0,0.0
A. Aliyeva,6.6,6.6,,0.0,0.0
A. Anish,,,,0.0,0.0
A. Badalyan,4.05,4.5,0.6363961030678928,0.0,0.0
A. Baklanova,4.6,4.6,,0.0,0.0
A. BeLoat,,,,0.0,0.0
A. Belle,3.2,3.2,,0.0,0.0
A. Berezovskaya,7.0,7.0,,0.0,0.0
A. Dzutkayeva,7.2,7.2,,0.0,0.0
A. Fedonova,6.3,6.3,,0.0,0.0
A. Garanina,,,,0.0,0.0
A. Goodwin,6.1,6.1,,0.0,0.0
A. Gukasyan,5.4,5.4,,0.0,0.0
A. Hans Scheirl,5.35,5.4,0.07071067811865545,0.0,0.0
A. Heydarova,8.0,8.0,,0.0,0.0
A. Jai Simone,,,,0.0,0.0
A. Kamala,6.9,6.9,,0.0,0.0
A. Kekilbayeva,6.7,6.7,,0.0,0.0
A. Keller,7.8,7.8,,0.0,0.0
A. Konstadopoulou,,,,0.0,0.0
A. Krasilicha,,,,0.0,0.0
A. Lesnikova,5.3,5.3,,0.0,0.0
A. Lorraine Robinson,3.3,3.3,,0.0,0.0
A. Lynn Holly,,,,0.0,0.0
A. Maana Tanelah,4.7,4.7,,0.0,0.0
A. Malkova,7.3,7.3,,0.0,0.0
A. Malsawmsangi,,,,0.0,0.0
A. Mamasakhlisova,7.1,7.1,,0.0,0.0
A. Memi,7.3,7.3,,0.0,0.0
A. Michelle Harleston,5.385714285714286,8.9,2.880641462954951,0.0,0.0
A. Mirakyan,2.4,2.4,,0.0,0.0
A. Muratova,7.9,7.9,,0.0,0.0
A. Musatova,5.9,5.9,,0.0,0.0
A. Nabiyeva,,,,0.0,0.0
A. Naveen Kumar,4.5,4.5,,0.0,0.0
A. Nosikova,5.1,5.1,,0.0,0.0
A. Pashutina,6.1,6.1,,0.0,0.0
A. Rosy Hernandez,,,,0.0,0.0
A. Ruzgaite,7.7,7.7,,0.0,0.0
A. Sabrena Farmer,6.1,6.1,,0.0,0.0
A. Shtrimaytite,6.9,6.9,,0.0,0.0
A. Simachyov,7.9,7.9,,0.0,0.0
A. Vason,,,,0.0,0.0
A. Vetura,2.4,2.4,,0.0,0.0
A.A. Fernandez,7.05,7.6,0.7778174593052021,0.0,0.0
A.C. Love,7.0,7.0,,0.0,0.0
A.C. Smallwood,4.0,4.0,,0.0,0.0
A.E. Fletcher,7.4,7.4,,0.0,0.0
A.J. Blake,4.4,4.4,,0.0,0.0
A.J. Cook,5.636363636363637,7.2,0.9405027668994146,0.0,0.0
A.J. D'Agostino,6.9,6.9,,0.0,0.0
A.J. Dirty Stein,5.6,5.6,,0.0,0.0
A.J. Hill,,,,0.0,0.0
A.J. Johnson,5.225,6.5,1.2091909928306848,0.0,0.0
A.J. Khan,4.825,6.2,1.260621539823379,0.0,0.0
A.J. Koehler,3.2,3.2,,0.0,0.0
A.J. Langer,5.32,6.4,0.8871302046486754,0.0,0.0
A.J. Lister,,,,0.0,0.0
A.J. Mendez,,,,0.0,0.0
A.J. Sexton,6.4,6.4,,0.0,0.0
A.J. Umadevi,,,,0.0,0.0
A.K. Benninghofen,,,,0.0,0.0
A.K. Burns,,,,0.0,0.0
A.K. Gupta,8.0,8.0,,0.0,0.0
A.K. Shand,6.2,6.2,,0.0,0.0
A.L. Steiner,,,,0.0,0.0
A.M. Bellaire,4.4,4.4,,0.0,0.0
A.M. Lukas,5.525,7.0,1.181453906563152,0.0,0.0
A.R. Nicholas,4.966666666666667,5.9,0.8144527815247079,0.0,0.0
A.V.A. LaReaux,,,,0.0,0.0
A.W. Gryphon,,,,0.0,0.0
AAhAs,,,,0.0,0.0
AC Bonifacio,,,,0.0,0.0
AC Carrillo,,,,0.0,0.0
AJ Bridel,4.7,4.7,,0.0,0.0
