primaryName,director_score_mean,director_score_max,director_score_std,director_ganador_oscar_prom,director_nominado_oscar_prom
'Evil' Ted Smith,4.0,4.0,,0.0,0.0
'Hiki' Pyotr Struchkov,5.6,5.6,,0.0,0.0
'Hollywood' Ryan Hood,,,,0.0,0.0
'Philthy' Phil Phillips,3.8,3.8,,0.0,0.0
'Rayzor' Raymond Davis,,,,0.0,0.0
'Tamiliam' Subas,,,,0.0,0.0
0010x0010,,,,0.0,0.0
3D Na'Tee,,,,0.0,0.0
A Abhiramu,,,,0.0,0.0
A Brooks Bennett,,,,0.0,0.0
A Deshon Parks,,,,0.0,0.0
A Garcia,,,,0.0,0.0
A Normale Jef,,,,0.0,0.0
A R Ravindra,,,,0.0,0.0
A'Ali de Sousa,4.2,4.2,,0.0,0.0
A-F-R-O,,,,0.0,0.0
A. Balakrishnan,7.8,7.8,,0.0,0.0
A. Bhimsingh,6.903571428571429,7.9,0.668598391804684,0.0,0.0
A. Blaine Miller,6.15,7.0,1.2020815280171306,0.0,0.0
A. Branham Dyer,,,,0.0,0.0
A. Cengiz Mert,2.9,2.9,,0.0,0.0
A. Chandrasekaran,4.8,4.8,,0.0,0.0
A. Dean Bell,4.800000000000001,6.4,2.262741699796952,0.0,0.0
A. Durga Prasad,7.4,7.4,,0.0,0.0
A. Fishman,7.0,7.0,,0.0,0.0
A. Govindamoorthy,6.7,6.7,,0.0,0.0
A. Gurusekara,,,,0.0,0.0
A. Haluk Unal,6.9,6.9,,0.0,0.0
A. Hans Scheirl,5.35,5.4,0.07071067811865545,0.0,0.0
A. Harris,5.3,5.3,,0.0,0.0
A. Hassan Keivan,,,,0.0,0.0
A. Jagadesh,3.8,3.8,,0.0,0.0
A. Jagannathan,6.26,7.4,0.6730527468185536,0.0,0.0
A. Joji,6.0,6.0,,0.0,0.0
A. Kadir,,,,0.0,0.0
A. Kajvoryan,2.4,2.4,,0.0,0.0
A. Karunakaran,6.62,8.3,0.9366607354497858,0.0,0.0
A. Kasilingam,6.466666666666666,8.0,1.4189197769195172,0.0,0.0
A. Kesavan,,,,0.0,0.0
A. Kodandarami Reddy,6.770454545454545,8.1,0.76327920017561,0.0,0.0
A. Krishna,,,,0.0,0.0
A. Lawrence Dreyfuss,6.9,6.9,,0.0,0.0
A. Leung Wong,5.9,5.9,,0.0,0.0
A. Levent Ungor,5.2,5.2,,0.0,0.0
A. Liong Wong,5.2,5.2,,0.0,0.0
A. M Sidhique,,,,0.0,0.0
A. Madhu,,,,0.0,0.0
A. Mahadev,4.6,5.4,1.1313708498984767,0.0,0.0
A. Malik Ahmad,,,,0.0,0.0
A. Manju Daivagnya,,,,0.0,0.0
A. Mark Liiv,8.6,8.6,,0.0,0.0
A. Martin Zweiback,6.9,6.9,,0.0,0.0
A. Muthu,3.1,3.1,0.0,0.0,0.0
A. Nairang,6.0,6.0,,0.0,0.0
A. Onomen Asikele,,,,0.0,0.0
A. Pradeep,,,,0.0,0.0
A. Rachman,5.85,6.2,0.49497474683058373,0.0,0.0
A. Radhaswamy,6.533333333333334,7.2,0.7023769168568493,0.0,0.0
A. Rahim,,,,0.0,0.0
A. Rajdeep,3.3,3.3,,0.0,0.0
A. Ramesh Babu,,,,0.0,0.0
A. Raven Cruz,2.2,2.2,,0.0,0.0
A. Razak Mohaideen,4.978378378378378,8.3,1.5422089379874597,0.0,0.0
A. Salaam,5.34,6.6,1.3813037319865604,0.0,0.0
A. Sanjeevi,6.6,6.6,,0.0,0.0
A. Sanjiva Rao,,,,0.0,0.0
A. Sarana,,,,0.0,0.0
A. Sarkunam,5.619999999999999,8.2,1.9664689166117015,0.0,0.0
