primaryName,escritor_score_mean,escritor_score_max,escritor_score_std,escritor_ganador_oscar_prom,escritor_nominado_oscar_prom
' Harris Sharea 'Lady,,,,0.0,0.0
'A.J.' Marriot,7.2,7.2,,0.0,0.0
'Evil' Ted Smith,4.0,4.0,,0.0,0.0
'Hiki' Pyotr Struchkov,5.6,5.6,,0.0,0.0
'Hollywood' Ryan Hood,,,,0.0,0.0
'Philthy' Phil Phillips,3.8,3.8,,0.0,0.0
'Tamiliam' Subas,,,,0.0,0.0
'Weird Al' Yankovic,6.9,6.9,,0.0,0.0
.K. Nanjunda,6.529999999999999,8.3,1.0403525043625037,0.0,0.0
.S.K. Chithralaya,,,,0.0,0.0
0010x0010,,,,0.0,0.0
1000Springs,,,,0.0,0.0
1Tappyanick,,,,0.0,0.0
3D Na'Tee,,,,0.0,0.0
42nd Street Pete,6.9,6.9,,0.0,0.0
50 Cent,4.6,5.4,1.1313708498984767,0.0,0.0
A Beezy,,,,0.0,0.0
A Deshon Parks,,,,0.0,0.0
A Garcia,,,,0.0,0.0
A L Katz,4.9,5.4,0.7071067811865476,0.0,0.0
A Normale Jef,3.4,3.4,,0.0,0.0
A Shawn Austin,6.5,6.5,,0.0,0.0
A Type Machine,4.7,4.7,,0.0,0.0
A V Shiva Sai,,,,0.0,0.0
A'Ali de Sousa,,,,0.0,0.0
A'Leighsha Butler,,,,0.0,0.0
A'Ziah King,6.4,6.4,,0.0,0.0
A'manuel Rassam,,,,0.0,0.0
A-F-R-O,,,,0.0,0.0
A. Abdul Hameed,4.95,5.2,0.3535533905932738,0.0,0.0
A. Abhishek,,,,0.0,0.0
A. Aida,2.3,2.3,,0.0,0.0
A. Akramkhodzhaev,5.0,5.0,,0.0,0.0
A. Ayet,4.7,4.7,,0.0,0.0
A. Balakrishna,,,,0.0,0.0
A. Berdnik,5.9,5.9,,0.0,0.0
A. Bertolotto,4.5,4.5,,0.0,0.0
A. Bhimsingh,6.886666666666667,7.7,0.4657814733889499,0.0,0.0
A. Blaine Miller,7.0,7.0,,0.0,0.0
A. Branham Dyer,,,,0.0,0.0
A. Cengiz Mert,2.9,2.9,,0.0,0.0
A. Chandrasekaran,4.8,4.8,,0.0,0.0
A. Chernousova,7.1,7.1,,0.0,0.0
A. Chmykhalo,6.1,6.1,,0.0,0.0
A. Dean Bell,4.800000000000001,6.4,2.262741699796952,0.0,0.0
A. Deepakraj,6.355555555555556,7.7,1.0100880049667842,0.0,0.0
A. Di Risso,5.4,5.4,,0.0,0.0
A. Domozhakov,4.8,4.8,,0.0,0.0
A. Everett Howe,2.5,2.5,,0.0,0.0
A. Firdous,7.4,7.4,,0.0,0.0
A. Fishman,7.0,7.0,,0.0,0.0
A. García Moro,,,,0.0,0.0
A. García de Quirós,8.7,8.7,,0.0,0.0
A. Gasparyan,,,,0.0,0.0
A. Ghosh,,,,0.0,0.0
A. Govindamoorthy,6.7,6.7,,0.0,0.0
A. Gregory,3.7,3.7,,0.0,0.0
A. Gurusamy,6.5,6.5,,0.0,0.0
A. Hans Scheirl,5.4,5.4,,0.0,0.0
A. Harris,,,,0.0,0.0
A. Hovsepyan,3.1,3.1,,0.0,0.0
A. Jagadesh,3.8,3.8,,0.0,0.0
A. Jaye Williams,4.3,4.3,,0.0,0.0
A. Jeeva Kumaran,6.3,6.3,,0.0,0.0
A. Joji,6.0,6.0,,0.0,0.0
A. Kadir,,,,0.0,0.0
A. Kadir Bozkurt,5.5,5.5,,0.0,0.0
A. Kajvoryan,2.4,2.4,,0.0,0.0
A. Kamal,5.6,5.6,,0.0,0.0
A. Karunakaran,6.216666666666666,8.3,1.108507049498504,0.0,0.0
A. Kasilingam,5.2,5.2,,0.0,0.0
A. Kerin,6.1,6.1,,0.0,0.0
A. Klockis,7.9,7.9,,0.0,0.0
A. Kodandarami Reddy,6.630434782608695,7.8,0.7888050701758816,0.0,0.0
A. Konoplyova,7.2,7.2,,0.0,0.0
A. Kostin,6.1,6.1,,0.0,0.0
A. Latishev,,,,0.0,0.0
A. Lawrence Dreyfuss,6.9,6.9,,0.0,0.0
A. Lee Lee,5.0,5.0,,0.0,0.0
A. Lee Martinez,5.1,5.1,,0.0,0.0
A. Levent Ungor,5.2,5.2,,0.0,0.0
A. Löbite,,,,0.0,0.0
A. M Sidhique,,,,0.0,0.0
A. Madhu,,,,0.0,0.0
A. Madhukar,5.7,5.7,,0.0,0.0
A. Mahadev,5.4,5.4,,0.0,0.0
A. Malik Ahmad,,,,0.0,0.0
A. Martin Zweiback,5.625,6.9,1.4997221964972938,0.0,0.0
A. Melvin Mcdonald,5.7,5.7,,0.0,0.0
A. Michael Baldwin,3.7,3.7,,0.0,0.0
A. Nairang,6.0,6.0,,0.0,0.0
A. Nekrasov,6.7,6.7,,0.0,0.0
A. Neuberg,6.7,6.7,,0.0,0.0
A. Norévo,5.4,5.4,,0.0,0.0
A. Onomen Asikele,,,,0.0,0.0
A. Pauliny,6.6,6.6,,0.0,0.0
A. Pavlov,6.9,6.9,,0.0,0.0
A. Pletnev,,,,0.0,0.0
A. Pradeep,,,,0.0,0.0
A. Purtseladze,7.4,7.4,,0.0,0.0
A. Pushpanand,5.4399999999999995,7.3,2.013206397764521,0.0,0.0
A. Pushparaj,,,,0.0,0.0
A. Rachman,6.2,6.2,,0.0,0.0
A. Rafiq,,,,0.0,0.0
A. Rahim,,,,0.0,0.0
A. Rameshbabu,,,,0.0,0.0
A. Raven Cruz,2.2,2.2,,0.0,0.0
A. Razak,5.3,5.3,,0.0,0.0
A. Razak Mohaideen,5.032,8.3,1.6715063066986415,0.0,0.0
A. Roothaert,6.2,6.2,,0.0,0.0
A. Salaam,5.7,5.7,,0.0,0.0
A. Samad Said,8.1,8.1,,0.0,0.0
A. Sanford Wolfe,5.466666666666666,6.3,0.9073771725877461,0.0,0.0
A. Sanjiva Rao,,,,0.0,0.0
A. Santhakumar,5.4,5.4,,0.0,0.0
A. Sarana,,,,0.0,0.0
A. Sarkunam,6.119999999999999,8.2,2.083746625672133,0.0,0.0
A. Sayeeda Moreno,5.3,5.3,,0.0,0.0
A. Schraderi,3.6,3.6,,0.0,0.0
A. Scott Berg,6.7,6.9,0.2828427124746193,0.0,0.0
A. Shamsheer,6.35,7.0,0.919238815542512,0.0,0.0
A. Sinha,7.5,7.5,,0.0,0.0
A. Sirisena,,,,0.0,0.0
A. Sitin,6.2,6.2,,0.0,0.0
A. Strakhov,,,,0.0,0.0
A. Susan Svehla,6.95,7.5,0.7778174593052021,0.0,0.0
A. Tadevosyan,7.9,7.9,,0.0,0.0
A. Tagan,,,,0.0,0.0
A. Veerappan,5.2,5.2,,0.0,0.0
A. Venkatesh,5.666666666666667,7.2,1.386842937514315,0.0,0.0
A. Venugopal,,,,0.0,0.0
A. Vincent,4.8,4.8,,0.0,0.0
A. Wayne Carter,3.8,3.8,,0.0,0.0
A. Weeraratne,5.9,5.9,,0.0,0.0
A. Yelenkov,5.9,5.9,,0.0,0.0
A. Zhadan,7.3,7.3,,0.0,0.0
A. Zhilina,5.5,5.5,,0.0,0.0
A. Zyabrev,6.4,6.4,,0.0,0.0
A. Överland,6.3,6.3,,0.0,0.0
A.A. Junaideen,,,,0.0,0.0
A.A. Miller,,,,0.0,0.0
A.A. Milne,6.8,7.5,0.6000000000000003,0.0,0.0
A.A. Nagiyev,5.4,5.4,,0.0,0.0
A.B. 'Banjo' Paterson,6.9,7.2,0.4242640687119292,0.0,0.0
A.B. Azhagar,,,,0.0,0.0
A.B. Binil,,,,0.0,0.0
A.B. Guthrie Jr.,6.2,6.2,,0.0,1.0
A.B. Mohan,,,,0.0,0.0
A.B. Mughan,,,,0.0,0.0
A.B. Rahman El-Sharkawi,8.5,8.9,0.5656854249492386,0.0,0.0
A.B. Raj,5.066666666666666,5.5,0.5859465277082316,0.0,0.0
A.B. Sallu,,,,0.0,0.0
