primaryName,productor_score_mean,productor_score_max,productor_score_std,productor_ganador_oscar_prom,productor_nominado_oscar_prom
'Aha Punana Leo,8.8,8.8,,0.0,0.0
'Ganja' Karuppu,7.7,7.7,,0.0,0.0
'Philthy' Phil Phillips,3.8,3.8,,0.0,0.0
'Punnagai Poo' Geetha,5.18,7.3,2.0753312988532695,0.0,0.0
'Rayzor' Raymond Davis,,,,0.0,0.0
'Tamiliam' Subas,,,,0.0,0.0
187Lascd,,,,0.0,0.0
3D Na'Tee,,,,0.0,0.0
42nd Street Pete,6.9,6.9,,0.0,0.0
50 Cent,5.05,6.4,0.9332738076256077,0.0,0.0
6ackend,,,,0.0,0.0
88 Rama Reddy,,,,0.0,0.0
88Stories,,,,0.0,0.0
A Arun Kumar,,,,0.0,0.0
A Haritha,,,,0.0,0.0
A Jayalakshmi,,,,0.0,0.0
A Jhunjhunwala,,,,0.0,0.0
A Kaja Hussain,,,,0.0,0.0
A L Katz,6.7,6.7,,0.0,0.0
A M Sreelal Prakashan,,,,0.0,0.0
A Normale Jef,3.4,3.4,,0.0,0.0
A O Dafe Louis,,,,0.0,0.0
A Samad Hassan,,,,0.0,0.0
A Shawn Austin,4.85,6.5,2.333452377915607,0.0,0.0
A Tribe Called Quest,7.6,7.6,,0.0,0.0
A Venu Babu,,,,0.0,0.0
A-F-R-O,,,,0.0,0.0
A. Ahmed,4.3,4.3,,0.0,0.0
A. Aida,2.3,2.3,,0.0,0.0
A. Alatas Fahmi,6.5,6.5,,0.0,0.0
A. Anandhan,,,,0.0,0.0
A. Araratyan,3.1,3.1,,0.0,0.0
A. Ashari,,,,0.0,0.0
A. Bharathwaj,,,,0.0,0.0
A. Bharati,7.4,7.4,,0.0,0.0
A. Bhimsingh,7.0,7.2,0.2828427124746193,0.0,0.0
A. Branham Dyer,,,,0.0,0.0
A. But,5.35,5.5,0.21213203435596445,0.0,0.0
A. Chandrasekar,,,,0.0,0.0
A. Chidambaram Aanazhagan,6.4,6.4,,0.0,0.0
A. Devarajan,6.0,6.0,,0.0,0.0
A. Durga Prasad,7.933333333333334,8.5,0.55075705472861,0.0,0.0
A. Dwarakanath,8.5,8.5,,0.0,0.0
A. Edward Barnfield,7.4,7.4,,0.0,0.0
A. Fishman,7.0,7.0,,0.0,0.0
A. Frank Bundy,6.633333333333333,7.3,0.6506407098647712,0.0,0.0
A. Ganesh,6.1,6.1,,0.0,0.0
A. Gouliaris,3.0,3.0,,0.0,0.0
A. Gunasekar,5.6,5.6,,0.0,0.0
A. Halim Mostafa,8.8,8.8,,0.0,0.0
A. Haluk Unal,6.65,6.9,0.3535533905932738,0.0,0.0
A. Hamdi Akman,,,,0.0,0.0
A. Hameed,7.5,7.8,0.4242640687119283,0.0,0.0
A. Hamid,7.6,7.6,,0.0,0.0
A. Hans Scheirl,5.35,5.4,0.07071067811865545,0.0,0.0
A. Hariprasad Rao,5.449999999999999,6.1,0.9192388155425113,0.0,0.0
A. Hristofidis,4.4,4.4,,0.0,0.0
A. John Peter,5.6,5.6,,0.0,0.0
A. Kandasamy,8.1,8.1,,0.0,0.0
A. Karim Karmi,,,,0.0,0.0
A. Kelly Dinwoodie,6.2,6.2,,0.0,0.0
A. Khachatryan,2.4,2.4,,0.0,0.0
A. Khalia,7.8,7.8,,0.0,0.0
A. Khaliq,7.6,7.6,,0.0,0.0
A. Kitman Ho,6.75,8.1,0.9586922911398157,0.0,0.0
A. Kofteros,,,,0.0,0.0
A. Krishnamurthy,5.3,7.4,1.1063453348751466,0.0,0.0
A. Kumar,,,,0.0,0.0
A. Lakshmana Rao,,,,0.0,0.0
A. Lawrence Dreyfuss,6.9,6.9,,0.0,0.0
A. Lee Lee,5.0,5.0,,0.0,0.0
A. Mahesh Reddy,6.8,7.1,0.4242640687119283,0.0,0.0
A. Malik Ahmad,,,,0.0,0.0
A. Mohammadh Hanifa,,,,0.0,0.0
A. Mohan,5.2,5.2,,0.0,0.0
A. Mohanraj,,,,0.0,0.0
A. Murugan,,,,0.0,0.0
A. Mushthari,4.8,4.8,,0.0,0.0
A. Muthu,5.0,5.0,,0.0,0.0
A. Onomen Asikele,,,,0.0,0.0
A. Parister,4.4,4.4,,0.0,0.0
A. Prabhakara Rao,9.0,9.0,,0.0,0.0
A. Prashant,,,,0.0,0.0
A. Purnachander Rao,8.4,8.4,,0.0,0.0
A. Raamasamy,,,,0.0,0.0
A. Radhaswamy,7.2,7.2,,0.0,0.0
A. Ragavender,,,,0.0,0.0
A. Raghunath,5.233333333333333,6.3,1.101514109457221,0.0,0.0
A. Raghuram,7.0,7.0,,0.0,0.0
A. Raja Rahim,,,,0.0,0.0
A. Rajamanickam,,,,0.0,0.0
A. Rajendran,,,,0.0,0.0
A. Ramadas,8.5,8.5,,0.0,0.0
A. Ramamohana Rao,3.2,3.2,,0.0,0.0
A. Ramesh Prasad,7.8,8.2,0.5656854249492372,0.0,0.0
A. Raven Cruz,2.2,2.2,,0.0,0.0
A. Razak,7.4,7.4,,0.0,0.0
A. Razak Allepachai,,,,0.0,0.0
A. Razak Mohaideen,3.0,5.0,1.9519221295943134,0.0,0.0
A. Renu,,,,0.0,0.0
A. Ronald Lubin,6.45,6.8,0.26457513110645897,0.0,0.0
A. Salim,4.85,5.9,1.4849242404917498,0.0,0.0
A. Sampath Kumar,7.4,7.4,,0.0,0.0
A. Sanjeev Kumar,,,,0.0,0.0
A. Santosh Reddy,8.6,8.6,,0.0,0.0
A. Sarkunam,4.8,5.3,0.7071067811865476,0.0,0.0
A. Sayeed Khan,5.8,5.8,,0.0,0.0
A. Sekhar Yadav,,,,0.0,0.0
A. Selim Tuncer,,,,0.0,0.0
A. Selvi,,,,0.0,0.0
A. Shrinivas Murthy,,,,0.0,0.0
A. Sirokh A,6.3,6.3,,0.0,0.0
A. Sreekar Prasad,8.1,9.2,1.5556349186104041,0.0,0.0
A. Sriram,7.0,7.0,,0.0,0.0
A. Subaskaran,6.108333333333333,8.1,1.0849870827327714,0.0,0.0
A. Sundaram,7.15,7.3,0.21213203435596445,0.0,0.0
A. Suryanarayana,5.2,5.4,0.2828427124746193,0.0,0.0
A. Susan Svehla,6.4,6.4,,0.0,0.0
A. Taner Elhan,6.8,7.0,0.2828427124746193,0.0,0.0
A. Tarasov,6.0,6.1,0.141421356237309,0.0,0.0
A. Ter-Zakaryan,7.9,7.9,,0.0,0.0
A. Thanusia,,,,0.0,0.0
A. Todd Smith,6.4,6.4,,0.0,0.0
A. Ty Risby,7.0,7.0,,0.0,0.0
A. Uygur Ozturk,6.5,6.5,,0.0,0.0
